,prediction_id,truth_id,IoU,score,geometry,predicted_label,true_label,image_path,match
0,0,0,0.8454764110936939,0.98445857,"POLYGON ((294 241, 294 355, 177 355, 177 241, 294 241))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
1,1,1,0.5319533644208398,0.95622617,"POLYGON ((558 65, 558 196, 448 196, 448 65, 558 65))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
2,2,2,0.8159349962644848,0.9495225,"POLYGON ((99 169, 99 276, 3 276, 3 169, 99 169))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
3,3,3,0.669080361312989,0.94062,"POLYGON ((368 362, 368 461, 243 461, 243 362, 368 362))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
4,4,4,0.7054425820373275,0.89906615,"POLYGON ((794 265, 794 382, 701 382, 701 265, 794 265))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
5,7,5,0.6616416883874027,0.7739406,"POLYGON ((250 492, 250 580, 165 580, 165 492, 250 492))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
6,8,6,0.962194032010892,0.76340216,"POLYGON ((597 222, 597 272, 549 272, 549 222, 597 222))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
7,9,7,0.7050771927143364,0.7289929,"POLYGON ((176 218, 176 309, 88 309, 88 218, 176 218))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
8,10,8,0.41267743960000625,0.72262585,"POLYGON ((762 174, 762 315, 653 315, 653 174, 762 174))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
9,11,9,0.8877189314095244,0.6758492,"POLYGON ((111 512, 111 555, 67 555, 67 512, 111 512))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
10,12,10,0.21590177309260633,0.65726906,"POLYGON ((225 364, 225 530, 64 530, 64 364, 225 364))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,False
11,14,11,0.6856765216719862,0.6092441,"POLYGON ((612 341, 612 378, 572 378, 572 341, 612 341))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
12,15,12,0.19051431723278855,0.5366862,"POLYGON ((545 167, 545 360, 362 360, 362 167, 545 167))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,False
13,18,13,0.9565105278982815,0.48715067,"POLYGON ((489 8, 489 59, 441 59, 441 8, 489 8))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
14,19,14,0.5721229293860459,0.4261269,"POLYGON ((620 281, 620 319, 576 319, 576 281, 620 281))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
15,22,15,0.5361809483634101,0.39257956,"POLYGON ((659 354, 659 404, 614 404, 614 354, 659 354))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
16,23,16,0.9609242898137127,0.38372436,"POLYGON ((594 1, 594 35, 555 35, 555 1, 594 1))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
17,31,17,0.4739440445424148,0.2869439,"POLYGON ((784 489, 784 530, 747 530, 747 489, 784 489))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,True
18,5,18,0.0,0.8479877,"POLYGON ((177 125, 177 209, 88 209, 88 125, 177 125))",Tree,Tree,224b6d16-zz_23_676387.81_4848184.28.png,False
